Feature,value_boruta
tqwt_TKEO_mean_dec_12,1
tqwt_maxValue_dec_19,1
tqwt_TKEO_mean_dec_19,1
tqwt_stdValue_dec_12,1
tqwt_TKEO_mean_dec_33,1
tqwt_entropy_shannon_dec_35,1
tqwt_TKEO_std_dec_12,1
tqwt_stdValue_dec_11,1
tqwt_energy_dec_27,1
tqwt_entropy_log_dec_13,1
tqwt_maxValue_dec_13,2
tqwt_maxValue_dec_11,2
tqwt_stdValue_dec_6,2
tqwt_entropy_shannon_dec_36,3
tqwt_TKEO_mean_dec_17,3
tqwt_maxValue_dec_4,3
tqwt_energy_dec_35,5
tqwt_entropy_shannon_dec_12,5
tqwt_entropy_log_dec_16,7
det_TKEO_mean_1_coef,8
tqwt_entropy_log_dec_3,9
ddpJitter,10
tqwt_entropy_shannon_dec_17,11
tqwt_minValue_dec_9,12
Ed_5_coef,12
tqwt_entropy_shannon_dec_16,14
std_delta_delta_log_energy,15
Ed_1_coef,16
tqwt_entropy_log_dec_12,17
tqwt_TKEO_std_dec_11,18
tqwt_entropy_shannon_dec_33,18
tqwt_entropy_shannon_dec_19,20
tqwt_entropy_shannon_dec_13,21
tqwt_minValue_dec_7,22
std_10th_delta_delta,23
app_LT_TKEO_mean_1_coef,24
std_6th_delta,25
tqwt_energy_dec_21,26
det_entropy_log_1_coef,27
tqwt_energy_dec_12,28
tqwt_skewnessValue_dec_24,29
tqwt_stdValue_dec_25,30
tqwt_kurtosisValue_dec_32,30
tqwt_maxValue_dec_12,32
tqwt_medianValue_dec_36,33
tqwt_TKEO_std_dec_19,33
tqwt_energy_dec_18,35
det_TKEO_std_1_coef,37
std_7th_delta_delta,37
tqwt_entropy_log_dec_35,37
tqwt_TKEO_std_dec_26,39
std_6th_delta_delta,40
tqwt_TKEO_mean_dec_21,41
tqwt_entropy_log_dec_33,42
std_9th_delta_delta,42
tqwt_entropy_log_dec_27,44
tqwt_skewnessValue_dec_25,45
apq3Shimmer,46
locAbsJitter,47
det_entropy_shannon_1_coef,48
tqwt_minValue_dec_17,49
tqwt_entropy_log_dec_25,50
apq11Shimmer,51
GNE_std,52
std_8th_delta_delta,53
std_11th_delta_delta,54
std_7th_delta,55
std_MFCC_12th_coef,56
tqwt_stdValue_dec_26,57
tqwt_skewnessValue_dec_27,58
mean_MFCC_6th_coef,59
tqwt_energy_dec_6,59
