Feature,rank_mi,rank_SHAP,rank_embed,value_min,value_med,value_mean,value_harmo
tqwt_entropy_log_dec_35,1,40,43,1,40.0,28.0,2.8618968386023296
std_delta_delta_log_energy,2,1,9,1,2.0,4.0,1.8620689655172413
mean_MFCC_2nd_coef,3,69,253,3,69.0,108.33333333333333,8.52808988764045
std_8th_delta_delta,4,29,246,4,29.0,93.0,10.396890940004857
tqwt_TKEO_mean_dec_16,5,524,521,5,521.0,350.0,14.718307581165154
tqwt_entropy_shannon_dec_35,6,482,477,6,477.0,321.6666666666667,17.56051733795
tqwt_TKEO_std_dec_12,7,106,34,7,34.0,49.0,16.51047120418848
tqwt_maxValue_dec_12,8,510,455,8,455.0,324.3333333333333,23.22725945697961
tqwt_entropy_log_dec_11,9,307,402,9,307.0,239.33333333333334,25.672622211949612
tqwt_TKEO_mean_dec_12,10,10,4,4,10.0,8.0,6.666666666666666
tqwt_stdValue_dec_12,11,64,1,1,11.0,25.333333333333332,2.7111681643132224
tqwt_entropy_log_dec_12,12,39,109,12,39.0,53.333333333333336,25.39173718267795
tqwt_entropy_shannon_dec_14,13,401,40,13,40.0,151.33333333333334,28.730997106508056
tqwt_stdValue_dec_15,14,423,233,14,233.0,223.33333333333334,38.41992519235588
tqwt_energy_dec_27,15,60,19,15,19.0,31.333333333333332,22.06451612903226
app_entropy_shannon_5_coef,16,690,691,16,690.0,465.6666666666667,45.8740473775572
std_9th_delta_delta,17,15,150,15,17.0,60.666666666666664,22.70029673590505
app_LT_entropy_shannon_6_coef,18,666,540,18,540.0,408.0,50.92608326253186
tqwt_TKEO_mean_dec_11,19,300,62,19,62.0,127.0,41.61237145772824
tqwt_skewnessValue_dec_36,20,119,407,20,119.0,182.0,49.29316574220142
tqwt_TKEO_std_dec_13,21,450,500,21,450.0,323.6666666666667,57.8689528475199
tqwt_TKEO_mean_dec_13,22,133,6,6,22.0,53.666666666666664,13.65871369294606
app_entropy_log_5_coef,23,744,650,23,650.0,472.3333333333333,64.70982930679399
app_LT_entropy_shannon_7_coef,24,652,532,24,532.0,402.6666666666667,66.54819867832019
minIntensity,25,208,329,25,208.0,187.33333333333334,62.69958586315159
tqwt_minValue_dec_11,26,76,2,2,26.0,34.666666666666664,5.438532110091743
tqwt_minValue_dec_10,27,573,718,27,573.0,439.3333333333333,74.67331285250442
tqwt_entropy_shannon_dec_11,28,243,227,28,227.0,166.0,67.819908959178
tqwt_kurtosisValue_dec_26,29,128,208,29,128.0,121.66666666666667,63.690277166739996
std_6th_delta_delta,30,2,137,2,30.0,56.333333333333336,5.549054905490549
app_LT_TKEO_std_8_coef,31,669,623,31,623.0,441.0,84.84650172161308
std_Log_energy,32,241,337,32,241.0,203.33333333333334,78.19273314412364
std_3rd_delta,33,187,330,33,187.0,183.33333333333334,77.55760368663594
tqwt_TKEO_std_dec_11,34,61,8,8,34.0,34.333333333333336,17.563867325335217
std_delta_log_energy,35,56,200,35,56.0,97.0,58.333333333333336
tqwt_maxValue_dec_11,36,114,84,36,84.0,78.0,61.91379310344828
app_LT_entropy_log_6_coef,37,647,579,37,579.0,421.0,99.01075778320138
std_6th_delta,38,7,24,7,24.0,23.0,14.22882615156018
app_entropy_shannon_4_coef,39,689,692,39,689.0,473.3333333333333,105.12486832112498
tqwt_energy_dec_26,40,239,280,40,239.0,186.33333333333334,91.58759124087591
tqwt_entropy_log_dec_17,41,627,620,41,620.0,429.3333333333333,108.70335806050464
tqwt_entropy_log_dec_16,42,81,11,11,42.0,44.666666666666664,23.610094637223973
std_7th_delta_delta,43,3,37,3,37.0,27.666666666666668,7.820316766794102
tqwt_entropy_shannon_dec_16,44,160,81,44,81.0,95.0,72.59887964691903
tqwt_medianValue_dec_8,45,234,221,45,221.0,166.66666666666666,96.70988654781198
std_9th_delta,46,19,82,19,46.0,49.0,34.65570599613153
app_entropy_shannon_7_coef,47,269,10,10,47.0,108.66666666666667,24.001139024235904
tqwt_maxValue_dec_17,48,131,353,48,131.0,177.33333333333334,95.84731198272762
app_entropy_shannon_6_coef,49,712,659,49,659.0,473.3333333333333,128.58920145342825
tqwt_minValue_dec_12,50,124,190,50,124.0,121.33333333333333,90.01528273051451
std_8th_delta,51,17,307,17,51.0,125.0,36.724784988272084
tqwt_medianValue_dec_10,52,24,181,24,52.0,85.66666666666667,45.165555851772865
tqwt_entropy_shannon_dec_36,53,597,585,53,585.0,411.6666666666667,134.81711180870667
app_entropy_shannon_3_coef,54,688,693,54,688.0,478.3333333333333,140.08866834252882
tqwt_medianValue_dec_12,55,294,403,55,294.0,250.66666666666666,124.66460906661906
maxIntensity,56,70,174,56,70.0,100.0,79.1765980498375
meanIntensity,57,329,141,57,141.0,175.66666666666666,108.39884393063583
tqwt_medianValue_dec_23,58,143,388,58,143.0,196.33333333333334,111.89142578985188
app_LT_entropy_shannon_8_coef,59,634,610,59,610.0,434.3333333333333,148.76684284646277
tqwt_medianValue_dec_26,60,168,183,60,168.0,137.0,106.82418346073663
app_LT_entropy_shannon_9_coef,61,641,612,61,612.0,438.0,153.15896527814814
app_entropy_log_6_coef,62,746,649,62,649.0,485.6666666666667,157.80879848031344
tqwt_medianValue_dec_34,63,225,215,63,215.0,167.66666666666666,120.15079834417504
app_LT_entropy_log_5_coef,64,648,588,64,588.0,433.3333333333333,158.9918631337367
app_LT_entropy_shannon_10_coef,65,642,621,65,621.0,442.6666666666667,161.7028060826537
app_TKEO_std_2_coef,66,375,478,66,375.0,306.3333333333333,150.6762952773957
tqwt_entropy_shannon_dec_13,67,440,357,67,357.0,288.0,150.00584381339706
app_LT_TKEO_std_5_coef,68,331,263,68,263.0,220.66666666666666,139.3449095688336
std_4th_delta_delta,69,12,224,12,69.0,101.66666666666667,29.328273244781787
app_entropy_log_2_coef,70,739,655,70,655.0,488.0,174.76802063185045
app_entropy_shannon_9_coef,71,713,657,71,657.0,480.3333333333333,176.37615849789026
app_LT_entropy_shannon_3_coef,72,661,549,72,549.0,427.3333333333333,174.18323633527328
tqwt_kurtosisValue_dec_36,73,148,115,73,115.0,112.0,102.91228360805103
tqwt_stdValue_dec_13,74,161,23,23,74.0,86.0,47.46613545816733
tqwt_stdValue_dec_16,75,202,58,58,75.0,111.66666666666667,84.4470784213224
app_entropy_log_3_coef,76,285,372,76,285.0,244.33333333333334,155.0
app_LT_entropy_log_7_coef,77,646,590,77,590.0,437.6666666666667,184.84384185155946
app_entropy_shannon_8_coef,78,674,658,78,658.0,470.0,189.58604865287512
tqwt_skewnessValue_dec_25,79,66,235,66,79.0,126.66666666666667,93.55977500063632
tqwt_TKEO_std_dec_6,80,137,50,50,80.0,89.0,75.37826685006877
app_LT_TKEO_mean_1_coef,81,25,17,17,25.0,41.0,26.985889730859682
tqwt_entropy_log_dec_13,82,612,625,82,612.0,439.6666666666667,194.43767125269147
numPeriodsPulses,83,506,201,83,201.0,263.3333333333333,157.8980465997868
tqwt_minValue_dec_13,84,142,41,41,84.0,89.0,69.22449749929226
app_LT_entropy_log_9_coef,85,644,593,85,593.0,440.6666666666667,199.94879239154315
tqwt_medianValue_dec_25,86,682,660,86,660.0,476.0,205.3481677429394
tqwt_skewnessValue_dec_30,87,426,458,87,426.0,323.6666666666667,187.20659078877716
app_LT_entropy_log_8_coef,88,645,592,88,592.0,441.6666666666667,205.43424034432724
tqwt_TKEO_std_dec_14,89,416,197,89,197.0,234.0,160.2911456387491
app_LT_entropy_log_10_coef,90,643,594,90,594.0,442.3333333333333,209.06181579331485
tqwt_entropy_shannon_dec_8,91,528,525,91,525.0,381.3333333333333,202.8711366323256
app_entropy_log_7_coef,92,747,647,92,647.0,495.3333333333333,218.1207704269594
tqwt_energy_dec_25,93,112,83,83,93.0,96.0,94.5493784404506
app_LT_entropy_shannon_5_coef,94,664,547,94,547.0,435.0,214.70783704579472
tqwt_TKEO_mean_dec_8,95,249,216,95,216.0,186.66666666666666,156.478118396472
app_entropy_shannon_10_coef,96,738,656,96,656.0,496.6666666666667,225.63057324840764
app_LT_entropy_log_2_coef,97,683,602,97,602.0,460.6666666666667,223.30505719367463
tqwt_skewnessValue_dec_13,98,383,441,98,383.0,307.3333333333333,198.90441609421
tqwt_skewnessValue_dec_26,99,102,189,99,102.0,130.0,119.06681639528354
app_LT_entropy_shannon_4_coef,100,662,542,100,542.0,434.6666666666667,224.62500313019092
tqwt_entropy_shannon_dec_15,101,602,597,101,597.0,433.3333333333333,226.6346897873642
tqwt_entropy_log_dec_6,102,592,580,102,580.0,424.6666666666667,226.97613328033458
app_entropy_log_9_coef,103,750,644,103,644.0,499.0,238.1922876814208
tqwt_minValue_dec_17,104,28,289,28,104.0,140.33333333333334,61.4881636629323
app_entropy_log_10_coef,105,751,643,105,643.0,499.6666666666667,241.72928489359774
tqwt_energy_dec_12,106,26,69,26,69.0,67.0,48.085974376264325
tqwt_TKEO_std_dec_7,107,311,99,99,107.0,172.33333333333334,132.3788022877349
app_det_TKEO_mean_1_coef,108,734,642,108,642.0,494.6666666666667,246.31978781484136
std_11th_delta_delta,109,18,169,18,109.0,98.66666666666667,42.4646318036286
app_entropy_log_8_coef,110,749,631,110,631.0,496.6666666666667,249.7750228612518
apq11Shimmer,111,275,317,111,275.0,234.33333333333334,189.87405731030105
tqwt_minValue_dec_15,112,575,719,112,575.0,468.6666666666667,248.7866994535715
tqwt_meanValue_dec_11,113,116,326,113,116.0,185.0,146.0726054556642
app_LT_TKEO_std_6_coef,114,663,603,114,603.0,460.0,251.2857402782143
tqwt_stdValue_dec_14,115,696,750,115,696.0,520.3333333333334,261.6484330732685
app_LT_TKEO_std_2_coef,116,651,595,116,595.0,454.0,253.43274153429056
