,index,Feature,value_MI
0,426,tqwt_entropy_log_dec_35,0.1079123854058448018
1,124,std_delta_delta_log_energy,0.1064351759001511688
2,57,mean_MFCC_2nd_coef,0.0981874320149189739
3,133,std_8th_delta_delta,0.0962991901459435695
4,443,tqwt_TKEO_mean_dec_16,0.0958615775241309365
5,390,tqwt_entropy_shannon_dec_35,0.0941584717876056132
6,475,tqwt_TKEO_std_dec_12,0.0935492795716021952
7,655,tqwt_maxValue_dec_12,0.0927741984440055845
8,402,tqwt_entropy_log_dec_11,0.0922581108335112088
9,511,tqwt_medianValue_dec_12,0.0915897220491064257
10,583,tqwt_stdValue_dec_12,0.0905803978401178433
11,439,tqwt_TKEO_mean_dec_12,0.0904156152579544958
12,403,tqwt_entropy_log_dec_12,0.0900713310577252457
13,346,tqwt_energy_dec_27,0.0899225929723579398
14,586,tqwt_stdValue_dec_15,0.0896461439228586343
15,369,tqwt_entropy_shannon_dec_14,0.0896070819547936104
16,193,app_entropy_shannon_5_coef,0.0884012434329950469
17,438,tqwt_TKEO_mean_dec_11,0.0878574598525401207
18,476,tqwt_TKEO_std_dec_13,0.0875788488798658893
19,285,app_LT_entropy_shannon_6_coef,0.0871262246127042506
20,715,tqwt_skewnessValue_dec_36,0.0870649273141701485
21,440,tqwt_TKEO_mean_dec_13,0.0866671317168783428
22,507,tqwt_medianValue_dec_8,0.0860342119401824590
23,203,app_entropy_log_5_coef,0.0860146010990840981
24,286,app_LT_entropy_shannon_7_coef,0.0858835340290073912
25,21,minIntensity,0.0855925850236287644
26,618,tqwt_minValue_dec_11,0.0850528029530874807
27,134,std_9th_delta_delta,0.0850150277942443022
28,617,tqwt_minValue_dec_10,0.0847120369752121238
29,366,tqwt_entropy_shannon_dec_11,0.0844911648465385134
30,131,std_6th_delta_delta,0.0841513232231814179
31,317,app_LT_TKEO_std_8_coef,0.0831353588914243158
32,114,std_3rd_delta,0.0828515718669333712
33,96,std_Log_energy,0.0823092618438678869
34,741,tqwt_kurtosisValue_dec_26,0.0821834652444100033
35,110,std_delta_log_energy,0.0810645906881846123
