Feature,value_rfe
std_delta_delta_log_energy,1
tqwt_stdValue_dec_12,2
tqwt_entropy_log_dec_33,3
tqwt_TKEO_std_dec_12,4
tqwt_entropy_log_dec_27,5
tqwt_energy_dec_27,6
tqwt_TKEO_mean_dec_13,7
app_LT_TKEO_mean_1_coef,8
tqwt_entropy_log_dec_35,9
std_7th_delta_delta,10
tqwt_TKEO_mean_dec_12,11
tqwt_minValue_dec_21,12
tqwt_entropy_shannon_dec_33,13
std_6th_delta_delta,14
tqwt_TKEO_std_dec_19,15
tqwt_TKEO_std_dec_11,16
tqwt_maxValue_dec_11,17
tqwt_entropy_log_dec_16,18
tqwt_energy_dec_21,19
tqwt_stdValue_dec_11,20
std_9th_delta_delta,21
tqwt_energy_dec_6,22
tqwt_entropy_log_dec_25,23
app_entropy_shannon_7_coef,24
tqwt_TKEO_mean_dec_17,25
tqwt_TKEO_std_dec_17,26
tqwt_TKEO_mean_dec_6,27
tqwt_skewnessValue_dec_8,28
tqwt_energy_dec_18,29
tqwt_minValue_dec_11,30
tqwt_maxValue_dec_20,31
tqwt_medianValue_dec_36,32
tqwt_kurtosisValue_dec_24,33
tqwt_TKEO_std_dec_6,34
tqwt_kurtosisValue_dec_22,35
tqwt_entropy_shannon_dec_25,36
tqwt_entropy_log_dec_32,37
tqwt_kurtosisValue_dec_32,38
std_4th_delta_delta,39
tqwt_medianValue_dec_16,40
tqwt_energy_dec_3,41
mean_MFCC_6th_coef,42
tqwt_energy_dec_14,43
tqwt_energy_dec_33,44
tqwt_energy_dec_25,45
std_10th_delta,46
std_7th_delta,47
tqwt_entropy_shannon_dec_34,48
tqwt_skewnessValue_dec_23,49
tqwt_skewnessValue_dec_10,50
tqwt_energy_dec_23,51
tqwt_stdValue_dec_16,52
std_6th_delta,53
det_TKEO_std_1_coef,54
app_det_TKEO_mean_5_coef,55
std_MFCC_4th_coef,56
mean_2nd_delta,57
tqwt_medianValue_dec_22,58
tqwt_energy_dec_12,59
tqwt_minValue_dec_8,60
tqwt_skewnessValue_dec_28,61
tqwt_minValue_dec_3,62
app_LT_TKEO_mean_4_coef,63
det_LT_entropy_log_10_coef,64
tqwt_entropy_shannon_dec_19,65
tqwt_TKEO_std_dec_20,66
tqwt_maxValue_dec_27,67
tqwt_TKEO_mean_dec_25,68
mean_MFCC_2nd_coef,69
mean_6th_delta_delta,70
tqwt_medianValue_dec_33,71
tqwt_meanValue_dec_34,72
tqwt_entropy_shannon_dec_14,73
mean_MFCC_1st_coef,74
tqwt_medianValue_dec_1,75
VFER_SNR_TKEO,76
tqwt_TKEO_std_dec_15,77
b1,78
tqwt_meanValue_dec_25,79
std_1st_delta_delta,80
tqwt_kurtosisValue_dec_28,81
mean_MFCC_3rd_coef,82
tqwt_energy_dec_1,83
std_11th_delta_delta,84
tqwt_medianValue_dec_10,85
std_2nd_delta_delta,86
app_entropy_shannon_1_coef,87
tqwt_entropy_shannon_dec_26,88
det_LT_entropy_log_1_coef,89
maxIntensity,90
std_4th_delta,91
tqwt_skewnessValue_dec_3,92
std_MFCC_10th_coef,93
tqwt_minValue_dec_13,94
mean_MFCC_5th_coef,95
tqwt_meanValue_dec_27,96
locAbsJitter,97
det_LT_entropy_shannon_10_coef,98
mean_5th_delta,99
mean_MFCC_11th_coef,100
tqwt_medianValue_dec_35,101
app_LT_TKEO_std_3_coef,102
std_MFCC_12th_coef,103
tqwt_medianValue_dec_14,104
tqwt_energy_dec_4,105
mean_MFCC_4th_coef,106
tqwt_medianValue_dec_30,107
IMF_NSR_TKEO,108
tqwt_kurtosisValue_dec_18,109
tqwt_medianValue_dec_21,110
tqwt_kurtosisValue_dec_35,111
std_12th_delta,112
tqwt_entropy_shannon_dec_17,113
f2,114
tqwt_meanValue_dec_19,115
tqwt_medianValue_dec_27,116
mean_1st_delta_delta,117
tqwt_kurtosisValue_dec_5,118
tqwt_stdValue_dec_20,119
tqwt_entropy_shannon_dec_31,120
std_9th_delta,121
mean_9th_delta,122
std_MFCC_1st_coef,123
tqwt_minValue_dec_19,124
mean_1st_delta,125
tqwt_kurtosisValue_dec_30,126
tqwt_energy_dec_24,127
tqwt_maxValue_dec_36,128
tqwt_medianValue_dec_20,129
stdDevPeriodPulses,130
tqwt_medianValue_dec_19,131
tqwt_medianValue_dec_28,132
std_delta_delta_0th,133
meanAutoCorrHarmonicity,134
tqwt_energy_dec_19,135
det_LT_TKEO_std_6_coef,136
tqwt_TKEO_std_dec_25,137
tqwt_medianValue_dec_13,138
tqwt_kurtosisValue_dec_21,139
tqwt_entropy_log_dec_12,140
numPulses,141
tqwt_TKEO_std_dec_7,142
tqwt_energy_dec_8,143
GNE_std,144
tqwt_skewnessValue_dec_26,145
tqwt_TKEO_std_dec_5,146
tqwt_minValue_dec_12,147
tqwt_meanValue_dec_10,148
det_LT_TKEO_mean_9_coef,149
std_8th_delta_delta,150
tqwt_kurtosisValue_dec_33,151
tqwt_medianValue_dec_26,152
mean_delta_delta_log_energy,153
tqwt_medianValue_dec_18,154
tqwt_kurtosisValue_dec_36,155
tqwt_kurtosisValue_dec_23,156
tqwt_kurtosisValue_dec_25,157
std_5th_delta,158
tqwt_minValue_dec_17,159
tqwt_meanValue_dec_36,160
tqwt_entropy_log_dec_29,161
tqwt_maxValue_dec_26,162
tqwt_meanValue_dec_21,163
tqwt_entropy_shannon_dec_3,164
DFA,165
app_LT_TKEO_mean_2_coef,166
std_delta_log_energy,167
mean_MFCC_12th_coef,168
tqwt_kurtosisValue_dec_17,169
tqwt_TKEO_mean_dec_28,170
tqwt_minValue_dec_34,171
det_TKEO_mean_2_coef,172
std_MFCC_2nd_coef,173
mean_10th_delta_delta,174
tqwt_entropy_log_dec_1,175
tqwt_TKEO_mean_dec_11,176
b3,177
tqwt_skewnessValue_dec_14,178
tqwt_TKEO_mean_dec_27,179
tqwt_skewnessValue_dec_24,180
tqwt_kurtosisValue_dec_10,181
mean_MFCC_7th_coef,182
apq3Shimmer,183
det_LT_entropy_shannon_4_coef,184
tqwt_TKEO_mean_dec_8,185
tqwt_TKEO_std_dec_32,186
tqwt_maxValue_dec_17,187
IMF_SNR_SEO,188
f1,189
mean_MFCC_10th_coef,190
det_LT_entropy_log_8_coef,191
