,index,Feature,value_variancethres
0,492,tqwt_TKEO_std_dec_29,1.0000000000000007
1,181,det_TKEO_std_3_coef,1.0000000000000007
2,328,tqwt_energy_dec_9,1.0000000000000004
3,355,tqwt_energy_dec_36,1.0000000000000004
4,387,tqwt_entropy_shannon_dec_32,1.0000000000000004
5,467,tqwt_TKEO_std_dec_4,1.0000000000000004
6,230,Ed2_1_coef,1.0000000000000004
7,359,tqwt_entropy_shannon_dec_4,1.0000000000000004
8,382,tqwt_entropy_shannon_dec_27,1.0000000000000004
9,580,tqwt_stdValue_dec_9,1.0000000000000002
10,159,det_entropy_log_1_coef,1.0000000000000002
11,290,app_LT_entropy_log_1_coef,1.0000000000000002
12,154,det_entropy_shannon_6_coef,1.0000000000000002
13,582,tqwt_stdValue_dec_11,1.0000000000000002
14,155,det_entropy_shannon_7_coef,1.0000000000000002
15,578,tqwt_stdValue_dec_7,1.0000000000000002
16,576,tqwt_stdValue_dec_5,1.0000000000000002
17,579,tqwt_stdValue_dec_8,1.0000000000000002
18,617,tqwt_minValue_dec_10,1.0000000000000002
19,445,tqwt_TKEO_mean_dec_18,1.0000000000000002
20,292,app_LT_entropy_log_3_coef,1.0000000000000002
21,162,det_entropy_log_4_coef,1.0000000000000002
22,446,tqwt_TKEO_mean_dec_19,1.0000000000000002
23,571,tqwt_meanValue_dec_36,1.0000000000000002
24,448,tqwt_TKEO_mean_dec_21,1.0000000000000002
25,567,tqwt_meanValue_dec_32,1.0000000000000002
26,284,app_LT_entropy_shannon_5_coef,1.0000000000000002
27,563,tqwt_meanValue_dec_28,1.0000000000000002
28,449,tqwt_TKEO_mean_dec_22,1.0000000000000002
29,171,det_TKEO_mean_3_coef,1.0000000000000002
30,559,tqwt_meanValue_dec_24,1.0000000000000002
31,574,tqwt_stdValue_dec_3,1.0000000000000002
32,442,tqwt_TKEO_mean_dec_15,1.0000000000000002
33,293,app_LT_entropy_log_4_coef,1.0000000000000002
34,174,det_TKEO_mean_6_coef,1.0000000000000002
35,625,tqwt_minValue_dec_18,1.0000000000000002
36,428,tqwt_TKEO_mean_dec_1,1.0000000000000002
37,309,app_LT_TKEO_mean_10_coef,1.0000000000000002
38,118,std_7th_delta,1.0000000000000002
39,119,std_8th_delta,1.0000000000000002
40,121,std_10th_delta,1.0000000000000002
41,618,tqwt_minValue_dec_11,1.0000000000000002
42,431,tqwt_TKEO_mean_dec_4,1.0000000000000002
43,303,app_LT_TKEO_mean_4_coef,1.0000000000000002
44,129,std_4th_delta_delta,1.0000000000000002
45,302,app_LT_TKEO_mean_3_coef,1.0000000000000002
46,131,std_6th_delta_delta,1.0000000000000002
47,435,tqwt_TKEO_mean_dec_8,1.0000000000000002
48,604,tqwt_stdValue_dec_33,1.0000000000000002
49,300,app_LT_TKEO_mean_1_coef,1.0000000000000002
50,600,tqwt_stdValue_dec_29,1.0000000000000002
51,598,tqwt_stdValue_dec_27,1.0000000000000002
52,138,Ea,1.0000000000000002
53,595,tqwt_stdValue_dec_24,1.0000000000000002
54,439,tqwt_TKEO_mean_dec_12,1.0000000000000002
55,143,Ed_5_coef,1.0000000000000002
56,441,tqwt_TKEO_mean_dec_14,1.0000000000000002
57,145,Ed_7_coef,1.0000000000000002
58,173,det_TKEO_mean_5_coef,1.0000000000000002
59,179,det_TKEO_std_1_coef,1.0000000000000002
60,451,tqwt_TKEO_mean_dec_24,1.0000000000000002
61,513,tqwt_medianValue_dec_14,1.0000000000000002
62,209,app_det_TKEO_mean_1_coef,1.0000000000000002
63,527,tqwt_medianValue_dec_28,1.0000000000000002
64,266,det_LT_TKEO_mean_7_coef,1.0000000000000002
65,525,tqwt_medianValue_dec_26,1.0000000000000002
66,468,tqwt_TKEO_std_dec_5,1.0000000000000002
67,519,tqwt_medianValue_dec_20,1.0000000000000002
68,517,tqwt_medianValue_dec_18,1.0000000000000002
69,220,app_TKEO_std_2_coef,1.0000000000000002
70,516,tqwt_medianValue_dec_17,1.0000000000000002
71,515,tqwt_medianValue_dec_16,1.0000000000000002
72,224,app_TKEO_std_6_coef,1.0000000000000002
73,531,tqwt_medianValue_dec_32,1.0000000000000002
74,260,det_LT_TKEO_mean_1_coef,1.0000000000000002
75,508,tqwt_medianValue_dec_9,1.0000000000000002
76,258,det_LT_entropy_log_9_coef,1.0000000000000002
77,503,tqwt_medianValue_dec_4,1.0000000000000002
78,234,Ed2_5_coef,1.0000000000000002
79,478,tqwt_TKEO_std_dec_15,1.0000000000000002
80,499,tqwt_TKEO_std_dec_36,1.0000000000000002
81,484,tqwt_TKEO_std_dec_21,1.0000000000000002
82,244,det_LT_entropy_shannon_5_coef,1.0000000000000002
83,486,tqwt_TKEO_std_dec_23,1.0000000000000002
84,208,app_entropy_log_10_coef,1.0000000000000002
85,532,tqwt_medianValue_dec_33,1.0000000000000002
86,556,tqwt_meanValue_dec_21,1.0000000000000002
87,192,app_entropy_shannon_4_coef,1.0000000000000002
88,177,det_TKEO_mean_9_coef,1.0000000000000002
89,555,tqwt_meanValue_dec_20,1.0000000000000002
90,111,std_0th_delta,1.0000000000000002
91,280,app_LT_entropy_shannon_1_coef,1.0000000000000002
92,184,det_TKEO_std_6_coef,1.0000000000000002
93,455,tqwt_TKEO_mean_dec_28,1.0000000000000002
94,456,tqwt_TKEO_mean_dec_29,1.0000000000000002
95,187,det_TKEO_std_9_coef,1.0000000000000002
96,188,det_TKEO_std_10_coef,1.0000000000000002
97,459,tqwt_TKEO_mean_dec_32,1.0000000000000002
98,460,tqwt_TKEO_mean_dec_33,1.0000000000000002
99,205,app_entropy_log_7_coef,1.0000000000000002
100,194,app_entropy_shannon_6_coef,1.0000000000000002
101,195,app_entropy_shannon_7_coef,1.0000000000000002
102,272,det_LT_TKEO_std_3_coef,1.0000000000000002
