Feature,value_SHAP
MFCC_2nd coef,0.3918479681015014648
GNE->NSR_SEO,0.3068278729915618896
Log energy,0.2385229170322418213
F0_series_F0_expTitze,0.2027625888586044312
Jitter->pitch_PQ5_classical_Schoentgen,0.1940937191247940063
9th delta-delta,0.1808300316333770752
entropy_shannon_5_coef,0.1714467257261276245
MFCC_1st coef,0.1678758114576339722
entropy_log_2_coef,0.1462472379207611084
1st delta,0.1281374096870422363
3rd delta,0.1207174509763717651
entropy_log_4_coef,0.1201160773634910583
Jitter->F0_abs_dif,0.1192187145352363586
det_TKEO_mean_5_coef,0.1037828102707862854
GNE->std,0.1031702384352684021
VFER->SNR_TKEO,0.1001268252730369568
VFER->SNR_SEO,0.0990273430943489075
12th delta-delta,0.0976535379886627197
det_TKEO_mean_8_coef,0.0962699651718139648
2nd delta-delta,0.0849899426102638245
Shimmer->Ampl_TKEO_prc75,0.0834685862064361572
Jitter->pitch_percent,0.0822439417243003845
DFA,0.0787477940320968628
MFCC_12th coef,0.0768962353467941284
det_TKEO_std_10_coef,0.0698489695787429810
det_TKEO_std_6_coef,0.0697532966732978821
HNR->HNR_dB_Praat_std,0.0661347806453704834
det_TKEO_std_9_coef,0.0641872286796569824
MFCC_3rd coef,0.0602560490369796753
IMF->NSR_entropy,0.0596237815916538239
Jitter->F0_TKEO_prc25,0.0582539476454257965
Jitter->F0_TKEO_prc5,0.0548449344933032990
0th delta,0.0533886030316352844
MFCC_8th coef,0.0533608905971050262
IMF->NSR_SEO,0.0527317672967910767
2nd delta,0.0487074330449104309
Jitter->F0range_5_95_perc,0.0432151630520820618
7th delta-delta,0.0401100330054759979
det_TKEO_std_1_coef,0.0369679778814315796
VFER->SNR_TKEO1,0.0350931249558925629
entropy_log_7_coef,0.0347052775323390961
Jitter->F0_dif_percent,0.0329537577927112579
NHR->NHR_Praat_std,0.0324287004768848419
MFCC_4th coef,0.0322488658130168915
entropy_log3_9_coef,0.0318361558020114899
Shimmer->Ampl_abs0th_perturb,0.0308839213103055954
