,index,Feature,value_MI
0,0,Jitter->F0_abs_dif,0.2471220337085198171
1,9,Jitter->F0_TKEO_prc5,0.2159629565098533099
2,10,Jitter->F0_TKEO_prc25,0.2136084295259312871
3,143,entropy_shannon_5_coef,0.2070833897803643353
4,152,entropy_log_4_coef,0.2011992950764724952
5,166,det_TKEO_mean_8_coef,0.1885234094596401899
6,1,Jitter->F0_dif_percent,0.1880421674153680556
7,164,det_TKEO_mean_6_coef,0.1867102314609894176
8,17,Jitter->pitch_PQ5_classical_Schoentgen,0.1860402514602506052
9,163,det_TKEO_mean_5_coef,0.1848688816492241038
10,150,entropy_log_2_coef,0.1822146580894594692
11,124,F0_series_F0_expTitze,0.1762260972305078610
12,174,det_TKEO_std_6_coef,0.1739625051205782036
13,242,entropy_log3_3_coef,0.1706337754727336176
14,151,entropy_log_3_coef,0.1687945459463926490
15,85,MFCC_2nd coef,0.1643886099690126112
16,16,Jitter->pitch_percent,0.1612224373218282825
17,84,MFCC_1st coef,0.1596093012539818723
18,153,entropy_log_5_coef,0.1593875584998949435
19,12,Jitter->F0_TKEO_prc95,0.1581845286896010894
20,2,Jitter->F0_PQ5_classical_Schoentgen,0.1565452066810382181
21,240,entropy_log3_1_coef,0.1556387838435677740
22,141,entropy_shannon_3_coef,0.1473758566680822835
23,59,DFA,0.1467553365983882419
24,86,MFCC_3rd coef,0.1459970374313190877
25,5,Jitter->F0_abs0th_perturb,0.1436361200427669349
26,79,IMF->NSR_SEO,0.1428720345607323861
27,177,det_TKEO_std_9_coef,0.1427699675297890991
28,252,det_TKEO_mean3_3_coef,0.1425407044812789792
29,161,det_TKEO_mean_3_coef,0.1415484872996917165
30,154,entropy_log_6_coef,0.1398052617397744779
31,131,Ed_3_coef,0.1372493065915372235
32,125,std_F0_series_F0_expTitze,0.1371697222388263970
33,66,GNE->NSR_SEO,0.1355278997701203636
34,140,entropy_shannon_2_coef,0.1338649463214527380
35,27,Jitter->pitch_TKEO_prc95,0.1336386667739759559
36,224,Ed2_5_coef,0.1323077710457964962
37,156,entropy_log_8_coef,0.1318296656457011995
38,7,Jitter->F0_TKEO_mean,0.1311149638105510995
39,255,det_TKEO_mean3_6_coef,0.1271178631509213286
40,162,det_TKEO_mean_4_coef,0.1262778646992477327
41,248,entropy_log3_9_coef,0.1244479937831775018
42,119,8th delta-delta,0.1243024527557525793
43,70,VFER->SNR_TKEO1,0.1242280050234370048
44,81,IMF->NSR_entropy,0.1211679171028365865
45,265,det_TKEO_std3_6_coef,0.1203666332468982247
46,157,entropy_log_9_coef,0.1189765174572343653
47,110,delta delta log energy,0.1175073070471466252
48,173,det_TKEO_std_5_coef,0.1173927132502183834
49,82,Log energy,0.1105614842281352761
50,6,Jitter->F0_CV,0.1088084887421520985
51,48,Shimmer->Ampl_TKEO_prc75,0.1067438908131324027
52,149,entropy_log_1_coef,0.1048603983118729932
53,233,entropy_shannon3_4_coef,0.1046284372437966681
54,72,VFER->SNR_SEO,0.1046006368046861201
55,71,VFER->SNR_TKEO,0.1044942034888101112
56,60,PPE,0.1040956383465487800
57,35,Shimmer->Ampl_PQ5_classical_Schoentgen,0.1016908389980750727
58,176,det_TKEO_std_8_coef,0.1016356723085047875
59,23,Jitter->pitch_TKEO_std,0.1013383175504167788
60,13,Jitter->F0_FM,0.0999300159495377649
61,28,Jitter->pitch_FM,0.0999300159495377649
62,25,Jitter->pitch_TKEO_prc25,0.0982199052587231503
63,285,entropy_log4_6_coef,0.0977646887982164259
64,239,entropy_shannon3_10_coef,0.0956587662208947531
