Feature,value_rfe
entropy_log_4_coef,1
MFCC_2nd coef,2
Jitter->pitch_PQ5_classical_Schoentgen,3
entropy_shannon_5_coef,4
prc95_5_F0_series_F0_expTitze,5
F0_series_F0_expTitze,6
entropy_log_2_coef,7
MFCC_1st coef,8
Log energy,9
1st delta,10
IMF->NSR_SEO,11
VFER->SNR_SEO,12
GNE->NSR_SEO,13
DFA,14
NHR->NHR_Praat_std,15
GNE->std,16
HNR->HNR_dB_Praat_std,17
9th delta-delta,18
12th delta-delta,19
MFCC_8th coef,20
3rd delta,21
MFCC_3rd coef,22
Shimmer->Ampl_TKEO_prc75,23
2nd delta,24
0th delta,25
std_F0_series_F0_expTitze,26
MFCC_12th coef,27
Shimmer->Ampl_abs_dif,28
OQ->std_cycle_open,29
det_TKEO_mean_6_coef,30
10th delta-delta,31
Jitter->pitch_TKEO_prc5,32
Jitter->pitch_CV,33
Shimmer->Ampl_dif_percent,34
Jitter->pitch_TKEO_prc95,35
det_TKEO_mean_8_coef,36
Shimmer->Ampl_CV,37
det_TKEO_mean_5_coef,38
Jitter->pitch_TKEO_mean,39
det_TKEO_mean_2_coef,40
Jitter->pitch_PQ5_generalised_Schoentgen,41
Jitter->pitch_TKEO_std,42
det_TKEO_std_2_coef,43
Shimmer->Ampl_PQ5_classical_Schoentgen,44
Jitter->pitch_abs0th_perturb,45
Jitter->pitch_PQ5_classical_Baken,46
det_TKEO_mean_7_coef,47
MFCC_7th coef,48
Shimmer->Ampl_PQ3_classical_Baken,49
Jitter->pitch_TKEO_prc75,50
det_TKEO_std_3_coef,51
MFCC_0th coef,52
Jitter->pitch_TKEO_prc25,53
det_TKEO_std_5_coef,54
VFER->SNR_TKEO,55
Shimmer->Ampl_PQ3_generalised_Schoentgen,56
VFER->mean,57
Shimmer->Ampl_AM,58
Jitter->pitch_range_5_95_perc,59
Shimmer->Ampl_TKEO_std,60
det_TKEO_mean_4_coef,61
Shimmer->Ampl_PQ11_classical_Schoentgen,62
VFER->std,63
NHR->NHR_Praat_mean,64
det_TKEO_mean_10_coef,65
