,index,Feature,value_MultiSURF
0,0,T64885,1
1,1,H71150,2
2,2,R99907,3
3,3,H46994,4
4,4,L07648,5
5,5,control9,6
6,6,control8,7
7,7,control10,8
8,8,control11,9
9,9,U09367,10
10,10,M63391,11
11,11,J02854,12
12,12,X86693,13
13,13,T64012,14
14,14,T48014,15
15,15,U19969,16
16,16,X78817,17
17,17,R62549,18
18,18,U25138,19
19,19,T92451,20
20,20,R48303,21
21,21,H04802,22
22,22,X82166,23
23,23,R60877,24
24,24,X74295,25
25,25,Z46389,26
26,26,M64110,27
27,27,U10886,28
28,28,X15882,29
29,29,H72965,30
30,30,M36634,31
31,31,M24398,32
32,32,X01410,33
33,33,M26683,34
34,34,T86749,35
35,35,H26419,36
36,36,H43663,37
37,37,D15049,38
38,38,T51539,39
39,39,R87126,40
40,40,M60706,41
41,41,X12369,42
42,42,M76378__,43
43,43,R41827,44
44,44,M91463,45
45,45,H05814,46
46,46,U07695__,47
47,47,X12496,48
48,48,R53455,49
49,49,M59040,50
50,50,R60883,51
51,51,U07695_,52
52,52,M69135,53
53,53,U34252,54
54,54,R27017,55
55,55,U29092,56
56,56,R54854,57
57,57,M28373,58
58,58,X63469,59
59,59,R78934,60
60,60,T91121,61
61,61,X61587_,62
62,62,M76378,63
63,63,U09414,64
64,64,R37276_,65
65,65,M83221,66
66,66,R49974_,67
67,67,R77824,68
68,68,H28373,69
69,69,D17400,70
70,70,T60155,71
71,71,H27277,72
72,72,U29607,73
73,73,U30825,74
74,74,R38736,75
75,75,U22897,76
76,76,H78386,77
77,77,M76378_,78
78,78,H05695,79
79,79,H47107,80
80,80,H45781,81
81,81,L20859,82
82,82,X16356,83
83,83,L09604,84
84,84,D26069,85
85,85,R94588,86
86,86,X15880,87
87,87,X70297,88
88,88,X86809,89
89,89,T70331,90
90,90,R44301,91
91,91,M69296,92
92,92,X12548,93
93,93,R73052,94
94,94,X61123,95
95,95,Z50753,96
96,96,T40454,97
97,97,X53004,98
98,98,T94993,99
99,99,R28373,100
100,100,M83667,101
101,101,X76228,102
102,102,X57348,103
103,103,X93499,104
104,104,D31716,105
105,105,X03484,106
106,106,R44363,107
107,107,R67999,108
108,108,X72632,109
109,109,R99230,110
110,110,H43887,111
111,111,R39681_,112
112,112,X80754,113
113,113,X68148,114
114,114,R42501,115
115,115,T54364,116
116,116,T84049,117
117,117,R61249,118
118,118,R49169,119
119,119,H14372,120
120,120,R54818,121
121,121,D00762,122
122,122,H27202,123
123,123,M92843,124
124,124,H09273,125
125,125,H26101,126
126,126,H92195,127
127,127,R37276,128
128,128,H13292,129
129,129,X55187,130
130,130,T69271,131
131,131,H09719,132
132,132,R06749,133
133,133,R42095,134
134,134,U20141,135
135,135,X70040,136
136,136,D11466,137
137,137,R21547,138
138,138,T78104,139
139,139,D00760,140
140,140,X07767,141
141,141,H50623,142
142,142,U30827,143
143,143,R56399,144
144,144,T55117,145
145,145,R00285,146
146,146,M83751,147
147,147,T58756,148
148,148,T71207,149
149,149,R51644,150
150,150,M69238,151
151,151,R19361,152
152,152,M57298,153
153,153,R56207,154
154,154,R60195,155
155,155,T90549,156
156,156,H29293,157
157,157,R95874,158
158,158,X78549,159
159,159,R73606,160
160,160,J02906,161
161,161,J03600,162
162,162,U30872,163
163,163,M14676,164
164,164,M32313,165
165,165,D00761,166
166,166,M94203,167
167,167,U18934,168
168,168,M86934,169
169,169,H87366,170
170,170,D31885,171
171,171,H74178,172
172,172,R96357,173
173,173,U10868,174
174,174,R36467,175
175,175,H71122,176
176,176,D21261,177
177,177,R00544,178
178,178,R52271,179
179,179,X75535,180
180,180,H89087,181
181,181,H45526__,182
182,182,H42477,183
183,183,H49515,184
184,184,H11054,185
185,185,L41559,186
186,186,Z49269_,187
187,187,X55019,188
188,188,T49637,189
189,189,X63629,190
190,190,H49870,191
191,191,H45526,192
192,192,J04621,193
193,193,R36977,194
194,194,X02744,195
195,195,H72850,196
196,196,H23135,197
197,197,H08156,198
198,198,R21427,199
199,199,R45442,200
200,200,M97370,201
201,201,X73358,202
202,202,L38951,203
203,203,M73481,204
204,204,X62153,205
205,205,X55005,206
206,206,M24470,207
207,207,X62055,208
208,208,L26405,209
209,209,M38258,210
210,210,U35116,211
211,211,M18930,212
212,212,Y00414,213
213,213,X57019,214
214,214,Z11584,215
215,215,D14662,216
216,216,M99439,217
217,217,U03851,218
218,218,H02611,219
219,219,H16991,220
220,220,X67155,221
221,221,R44895,222
222,222,H06524,223
223,223,U01877,224
224,224,M29550,225
225,225,U03090,226
226,226,H77536,227
227,227,D17390,228
228,228,T60318,229
229,229,L24203,230
230,230,H28704,231
231,231,H40891,232
232,232,U28963,233
233,233,T40645,234
234,234,R37480,235
235,235,U12387,236
236,236,R80966,237
237,237,H11095,238
238,238,R56630,239
239,239,H23005,240
240,240,H20543,241
241,241,H22948,242
242,242,R40184,243
243,243,H22579,244
244,244,X79683,245
245,245,Z49269,246
246,246,X13482,247
247,247,R38758,248
248,248,Y00097,249
249,249,T94885,250
250,250,R70479,251
251,251,T79161,252
252,252,M59819,253
253,253,X58521,254
254,254,H87135,255
255,255,T41094,256
256,256,H42127,257
257,257,H23098,258
258,258,H38838,259
259,259,M63509,260
260,260,D14812,261
261,261,R53936,262
262,262,H28711,263
263,263,U18422,264
264,264,M60484,265
265,265,T58731,266
266,266,X74330,267
267,267,L39874,268
268,268,T41207,269
269,269,T89164,270
270,270,R43309,271
271,271,M74491,272
272,272,M14539,273
273,273,T60778,274
274,274,L10717,275
275,275,U39360,276
276,276,D50063,277
277,277,L37792,278
278,278,R54837,279
279,279,T64941,280
280,280,T77446,281
281,281,Z24727,282
282,282,U05681,283
283,283,T89115,284
284,284,L07395,285
285,285,U08198,286
286,286,H04461,287
287,287,M16447,288
288,288,M81758,289
289,289,M65209,290
290,290,H13281,291
291,291,R85479,292
292,292,L14848,293
293,293,U19796,294
294,294,M77829,295
295,295,M84349,296
296,296,J03569,297
297,297,X16504,298
298,298,M31627,299
299,299,L27670,300
300,300,R38513_,301
301,301,R97912,302
302,302,D00749,303
303,303,H06061,304
304,304,D30655,305
305,305,H11272,306
306,306,L42611,307
307,307,R74208,308
308,308,D55673,309
309,309,R43936,310
310,310,L05144,311
311,311,D42046,312
312,312,X07862,313
313,313,X51416,314
314,314,R23176,315
315,315,R77794,316
316,316,D13641,317
317,317,U20982,318
318,318,X61587,319
319,319,H40416,320
320,320,R41673,321
321,321,U20582,322
322,322,R99935,323
323,323,T71574,324
324,324,X93510,325
325,325,U29175,326
326,326,U05572,327
327,327,R46731,328
328,328,R46739,329
329,329,T85165,330
330,330,D29641,331
331,331,T65740,332
332,332,X78706,333
333,333,R53036,334
334,334,U31216,335
335,335,X17644,336
336,336,R53612,337
337,337,X64364,338
338,338,X14767,339
339,339,M37583,340
340,340,U14588,341
341,341,R51502,342
342,342,R42291,343
343,343,M37984,344
344,344,M93009,345
345,345,H45526_,346
346,346,T61333,347
347,347,M81933,348
348,348,M23410,349
349,349,U14631,350
350,350,X89985,351
351,351,X07290,352
352,352,L10911,353
353,353,M14764,354
354,354,U25265,355
355,355,H65425,356
356,356,Z23115,357
357,357,D12765,358
358,358,M94345,359
359,359,D26535,360
360,360,X16135,361
361,361,R59097,362
362,362,H04654,363
363,363,H39830,364
364,364,X67699,365
365,365,U09646,366
366,366,R49459,367
367,367,R16156,368
368,368,X53743,369
369,369,L10386,370
370,370,H11374,371
371,371,R26146,372
372,372,R56401,373
373,373,R20666,374
374,374,H04311,375
375,375,T75577,376
376,376,R46740,377
377,377,T49204,378
378,378,Z23064,379
379,379,U31525,380
380,380,X02875,381
381,381,D42053,382
382,382,D16227,383
383,383,T94350,384
384,384,T78323,385
385,385,T93589,386
386,386,D23672,387
387,387,T70063,388
388,388,X79353,389
389,389,R99916,390
390,390,X13810,391
391,391,U09412,392
392,392,X74262,393
393,393,H45251,394
394,394,M32315,395
395,395,T89422,396
396,396,R72827,397
397,397,H14607,398
398,398,M57567,399
399,399,H11719,400
400,400,R52000,401
401,401,X80497,402
402,402,H89481,403
403,403,X80026,404
404,404,R42570,405
405,405,R41765,406
406,406,R41866,407
407,407,X81372,408
408,408,L37936,409
409,409,X68277,410
410,410,X69878,411
411,411,M74524,412
412,412,M81840,413
413,413,T98835,414
414,414,R86960,415
415,415,X17042__,416
416,416,X62025,417
417,417,U15782,418
418,418,U29171,419
419,419,T56460,420
420,420,H81864,421
421,421,M36981,422
422,422,T56011,423
423,423,T83644,424
424,424,L19067,425
425,425,U10324,426
426,426,R38513,427
427,427,L13689,428
428,428,Z33642,429
429,429,Y00345,430
430,430,Z15115,431
431,431,Z22572,432
432,432,H05893,433
433,433,T51493,434
434,434,X70944,435
435,435,X53461,436
436,436,X14830,437
437,437,L41268,438
438,438,T61609,439
439,439,H70635,440
440,440,H62245,441
441,441,M28214,442
442,442,L26339,443
443,443,R50736,444
444,444,H77348,445
445,445,H40013,446
446,446,X07384,447
447,447,R16077,448
448,448,L06328,449
449,449,M94556,450
450,450,D25217,451
451,451,U10117_,452
452,452,T51858,453
453,453,H07899,454
454,454,D12686,455
455,455,L28010,456
456,456,R35885,457
457,457,R75893,458
458,458,R85616,459
459,459,U14971_,460
460,460,X79683_,461
461,461,X75861,462
462,462,M22382,463
463,463,H09137,464
464,464,R27813,465
465,465,T70197,466
466,466,R44677,467
467,467,L07592,468
468,468,U30498,469
469,469,H70250,470
470,470,Y00062,471
471,471,U10117,472
472,472,M96824,473
473,473,D31887,474
474,474,M93010,475
475,475,R43913,476
476,476,H25940,477
477,477,L37033,478
478,478,T92259,479
479,479,X16663,480
480,480,H87240,481
481,481,H28050,482
482,482,U13991,483
483,483,T67077,484
484,484,M96326,485
485,485,R62459,486
486,486,D26067,487
487,487,H11661,488
488,488,X80910,489
489,489,U22055,490
490,490,R46528,491
491,491,M88279,492
492,492,X66365,493
493,493,R51749,494
494,494,M81635,495
495,495,H05978,496
496,496,M86868,497
497,497,R60217,498
498,498,D26018,499
499,499,R47976,500
500,500,R49974,501
501,501,H89688,502
502,502,M85079,503
503,503,T41204,504
504,504,H47650,505
505,505,R60591,506
506,506,D25216,507
507,507,X54101,508
508,508,H80114,509
509,509,U09413,510
510,510,R42994,511
511,511,R80779_,512
512,512,X86018,513
513,513,M85289,514
514,514,T90036,515
515,515,U03100,516
516,516,H06970,517
517,517,H62885,518
518,518,T52015,519
519,519,U09564,520
520,520,L40392,521
521,521,H18490,522
522,522,M16029,523
523,523,H87157,524
524,524,X74874,525
525,525,X15943,526
526,526,R60906,527
527,527,H05070,528
528,528,M80613,529
529,529,M86400,530
530,530,U18299,531
531,531,R09468,532
