Feature,value_boruta
H43887,1
T47377,1
X63629,1
H08393,1
H40095,1
M76378,1
R36977,1
M63391,1
R87126,1
M26383,1
M22382,1
U09564,2
H77597,2
T71025,3
J05032,3
T92451,3
Z49269,3
X62048,5
R08021,6
H06524,8
H64489,8
T51534,10
R42501,10
H49870,11
L08069,12
H11084,13
U30825,15
J02854,15
R54097,19
T86473,19
X53586,19
T56604,19
R84411,19
M36634,19
U19969,29
M22050,29
H23544,29
M26697,29
R64115,29
R08183,29
H40560,29
X14767,29
Z50753,29
H05910,29
L11706,29
X68314,29
L41559,29
X12671,29
X58521,1012
M19159,1012
D10522,1012
T52905,1012
L32163,1012
M26683,1012
R39209,1012
T84082,1012
M94203,1012
L25616,1012
H72234,1012
R96909,1012
T89649,1012
H09719,1012
U26648,1012
U02081,1012
T84051,1012
R99916,1012
T85165,1012
R85326,1012
M31303,1012
X89430,1012
M24069,1012
X68688,1012
R70479,1012
M28827,1012
X52228,1012
X82634,1012
X02157,1012
T62947,1012
H55759,1012
L26405_,1012
X70040,1012
X79981,1012
M95549,1012
M74524,1012
T98555,1012
U24166,1012
L41067,1012
H05978,1012
X83301,1012
H55933,1012
H20512,1012
M20867,1012
R62459,1012
X67155,1012
R67027,1012
D16294,1012
X12496,1012
J04474,1012
Y00711,1012
L25081,1012
X68194,1012
X16354,1012
X68149,1012
D63876,1012
X75535,1012
H45977,1012
L10386,1012
R71251,1012
H23005,1012
M92843,1012
X81817,1012
L07592,1012
L11373,1012
H46994,1012
M28697,1012
Z17240,1012
H11374,1012
L40027,1012
L06175,1012
R45942,1012
U21049,1012
X02761,1012
T47025,1012
X65873,1012
R32804,1012
T95046,1012
H54091,1012
M97676,1012
T84481,1012
M86934,1012
M13450,1012
R87747,1012
M65209,1012
R43766,1012
D14665,1012
D17400,1012
D78152,1012
H73908,1012
L20431,1012
M62762,1012
H04333,1012
T94885,1012
R71251_,1012
D13630,1012
H62828,1012
X82166,1012
X57974,1012
H42927,1012
Z11502,1012
R32511,1012
R60508,1012
H04654,1012
U30498,1012
Z15115,1012
R89067,1012
M29550,1012
D17532,1012
H23098,1012
D15049,1012
J04977,1012
R38758,1012
H89481,1012
T84049,1012
T40637,1012
M87772,1012
D26067,1012
T50500,1012
M34175__,1012
X07948,1012
M35878,1012
H69695,1012
D26069,1012
T67433,1012
D10523,1012
R99200,1012
R85479,1012
X17042__,1012
M13560,1012
H82100,1012
L34840,1012
R51644,1012
R56630,1012
L00354,1012
U10324,1012
M59819,1012
L25941,1012
R15814,1012
D13665,1012
X57348,1012
K03474_,1012
T64012,1012
H69834,1012
M64231,1012
X57019,1012
R45529,1012
T54767,1012
H05893,1012
R80400,1012
L26050_,1012
D10522_,1012
L33930,1012
R38736,1012
X85786,1012
U27699_,1012
D00860,1012
L32977,1012
M18216,1012
H15662,1012
D26068,1012
R44052,1012
L19067,1012
X54101,1012
H70635,1012
H77536,1012
T53360,1012
U18422,1012
M77698,1012
M32313,1012
M77477,1012
L05144,1012
L40992,1012
H75867,1012
H02258,1012
H02540,1012
H10925,1012
H58397,1012
M92287,1012
H47107,1012
T98835,1012
D15057,1012
H51524,1012
H42884,1012
H25940,1012
T51139,1012
X75208,1012
M83254,1012
H22579_,1012
H53092,1012
R39209_,1012
H42127,1012
R39599,1012
R56399,1012
R41673,1012
H56077,1012
L13977,1012
M68520,1012
D31887_,1012
R49542,1012
R48303,1012
R78950,1012
M31606,1012
X66365,1012
L20859,1012
M28882,1012
X12548,1012
R11485,1012
X61118,1012
R83923,1012
R40446,1012
R72644,1012
X86809,1012
U26312,1012
U04641,1012
M14676,1012
Z29505,1012
M38690,1012
D13243,1012
M59040,1012
Z26317,1012
R09468,1012
T40454,1012
H09665,1012
J03490,1012
T56460,1012
T51558,1012
R22779,1012
Z23064,1012
M81933,1012
H20543,1012
X14830,1012
X78817,1012
H04282,1012
R33481,1012
T92736,1012
T64974,1012
Z18538,1012
M65105,1012
T65790,1012
H48175,1012
T55117,1012
R39531,1012
D42053,1012
X54871,1012
L26494,1012
U10117,1012
H02465,1012
D16481,1012
R98441,1012
H38838,1012
M98343,1012
T40849,1012
H92182,1012
D43951,1012
R44887,1012
T50508,1012
H47650,1012
L13689,1012
