Feature,rank_mi,rank_SHAP,rank_embed,value_min,value_med,value_mean,value_harmo
X12671,1,1789,1789,1,1789.0,1193.0,2.996649916247906
M26383,2,6,7,2,6.0,5.0,3.7058823529411766
U32519,3,548,548,3,548.0,366.3333333333333,8.902527075812273
M16937,4,1091,1091,4,1091.0,728.6666666666666,11.912647861692449
M22382,5,8,4,4,5.0,5.666666666666667,5.217391304347826
H23544,6,127,127,6,127.0,86.66666666666667,16.44604316546763
T51849,7,1980,1980,7,1980.0,1322.3333333333333,20.852557673019056
J05032,8,580,580,8,580.0,389.3333333333333,23.355704697986575
X62048,9,728,728,9,728.0,488.3333333333333,26.348525469168905
X73902,10,588,588,10,588.0,395.3333333333333,29.01315789473684
R87126,11,1,3,1,3.0,5.0,2.1063829787234045
D14812,12,1775,1775,12,1775.0,1187.3333333333333,35.51973318510283
M63391,13,4,2,2,4.0,6.333333333333333,3.6279069767441863
H24030,14,1572,1572,14,1572.0,1052.6666666666667,41.26499999999999
T96873,15,442,442,15,442.0,299.6666666666667,42.13983050847457
D43950,16,421,421,16,421.0,286.0,44.60927152317882
M36634,17,964,964,17,964.0,648.3333333333334,49.262525050100194
H08393,18,2,10,2,10.0,10.0,4.576271186440678
U09587,19,372,372,19,372.0,254.33333333333334,51.717073170731716
T95018,20,1323,1323,20,1323.0,888.6666666666666,58.23917828319883
M76378__,21,1586,1586,21,1586.0,1064.3333333333333,61.37469287469288
M76378,22,1415,1415,22,1415.0,950.6666666666666,64.00959561343385
J02854,23,240,240,23,240.0,167.66666666666666,57.90209790209791
H43887,24,9,5,5,9.0,12.666666666666666,8.503937007874017
R38758,25,152,152,25,152.0,109.66666666666667,56.43564356435643
T61602,26,1365,1365,26,1365.0,918.6666666666666,75.13761467889908
T60155,27,1248,1248,27,1248.0,841.0,77.64055299539172
U21090,28,606,606,28,606.0,413.3333333333333,76.89425981873113
M76378_,29,1082,1082,29,1082.0,731.0,82.57368421052632
X63629,30,5,6,5,6.0,13.666666666666666,7.5
X60489,31,935,935,31,935.0,633.6666666666666,87.21664994984955
D43947,32,698,698,32,698.0,476.0,87.93700787401576
H77536,33,208,208,33,208.0,149.66666666666666,75.15328467153286
T86473,34,1638,1638,34,1638.0,1103.3333333333333,97.93434935521688
R64115,35,249,249,35,249.0,177.66666666666666,81.95924764890283
R49459,36,818,818,36,818.0,557.3333333333334,99.26292134831462
T60778,37,635,635,37,635.0,435.6666666666667,99.41466854724965
T52343,38,1230,1230,38,1230.0,832.6666666666666,107.36600306278714
T61609,39,1319,1319,39,1319.0,892.3333333333334,110.4674302075877
U26648,40,57,57,40,57.0,51.333333333333336,49.92700729927007
T52642,41,1038,1038,41,1038.0,705.6666666666666,113.99464285714286
U26312,42,226,226,42,226.0,164.66666666666666,91.85806451612903
T86281,43,925,925,43,925.0,631.0,118.02670623145401
R73052,44,1210,1210,44,1210.0,821.3333333333334,123.05084745762713
H40095,45,3,9,3,9.0,19.0,6.428571428571429
T57468,46,664,664,46,664.0,458.0,121.2063492063492
R96909,47,22,22,22,22.0,30.333333333333332,26.741379310344826
T68098,48,502,502,48,502.0,350.6666666666667,120.88294314381271
Z49269,49,1602,1602,49,1602.0,1084.3333333333333,138.52588235294118
H77348,50,1174,1174,50,1174.0,799.3333333333334,138.22605965463106
U09564,51,10,8,8,10.0,23.0,12.264529058116231
M21339,52,1198,1198,52,1198.0,816.0,143.53917050691243
X56597,53,701,701,53,701.0,485.0,138.11524163568774
L26050_,54,190,190,54,190.0,144.66666666666666,103.28859060402685
R06601,55,850,850,55,850.0,585.0,146.09375000000003
H28711,56,1812,1812,56,1812.0,1226.6666666666667,158.22037422037425
X55715,57,1274,1274,57,1274.0,868.3333333333334,156.95533141210373
T54276,58,1588,1588,58,1588.0,1078.0,162.1549295774648
U01038,59,699,699,59,699.0,485.6666666666667,151.4357405140759
T51493,60,865,865,60,865.0,596.6666666666666,158.07106598984774
M15841,61,15,15,15,15.0,30.333333333333332,20.036496350364963
Z50753,62,1129,1129,62,1129.0,773.3333333333334,167.5929768555467
T83368,63,965,965,63,965.0,664.3333333333334,167.1723189734189
M84721,64,715,715,64,715.0,498.0,162.84697508896798
M64445,65,1433,1433,65,1433.0,977.0,178.78119001919384
H21532,66,1553,1553,66,1553.0,1057.3333333333333,182.48902077151334
X85786,67,164,164,67,164.0,131.66666666666666,110.61744966442954
T47377,68,7,11,7,11.0,28.666666666666668,12.073789392774788
T51499,69,1851,1851,69,1851.0,1257.0,192.63800904977376
R97912,70,306,306,70,306.0,227.33333333333334,144.08071748878925
R27369,71,620,620,71,620.0,437.0,173.30708661417322
T51560,72,1353,1353,72,1353.0,926.0,195.22244488977955
D31885,73,1209,1209,73,1209.0,830.3333333333334,195.4029520295203
T51571,74,1770,1770,74,1770.0,1204.6666666666667,204.8696558915537
T62947,75,43,43,43,43.0,53.666666666666664,50.129533678756474
L41559,76,191,191,76,191.0,152.66666666666666,126.96209912536445
X17025,77,919,919,77,919.0,638.3333333333334,197.8462255358807
M34175_,78,470,470,78,470.0,339.3333333333333,175.68690095846645
T57686,79,1478,1478,79,1478.0,1011.6666666666666,214.11124694376528
U02493,80,1952,1952,80,1952.0,1328.0,221.81818181818178
T57619,81,1368,1368,81,1368.0,939.0,217.27058823529413
R44418,82,1244,1244,82,1244.0,856.6666666666666,217.34659090909088
R48303,83,242,242,83,242.0,189.0,147.69117647058823
R08829,84,887,887,84,887.0,619.3333333333334,211.87109004739338
R84411,85,454,454,85,454.0,331.0,185.52884615384616
L37792,86,804,804,86,804.0,564.6666666666666,212.5327868852459
H77597,87,252,252,87,252.0,197.0,154.3943661971831
X04828,88,1794,1794,88,1794.0,1225.3333333333333,240.41421319796953
R08021,89,782,782,89,782.0,551.0,217.49375000000003
M27190,90,604,604,90,604.0,432.6666666666667,208.01020408163265
R54097,91,14,14,14,14.0,39.666666666666664,19.5
U10886,92,726,726,92,726.0,514.6666666666666,220.1934065934066
T71025,93,1283,1283,93,1283.0,886.3333333333334,243.67392784206942
H91274,94,1641,1641,94,1641.0,1125.3333333333333,253.01366867140513
L10284,95,1236,1236,95,1236.0,855.6666666666666,247.0266479663394
H30734,96,1939,1939,96,1939.0,1324.6666666666667,262.05161895823557
R36977,97,11,1,1,11.0,36.333333333333336,2.724255319148936
X07948,98,160,160,98,160.0,139.33333333333334,132.13483146067415
Z14244,99,1706,1706,99,1706.0,1170.3333333333333,266.11449579831935
H08156,100,1658,1658,100,1658.0,1138.6666666666667,267.70721205597414
D63874,101,1408,1408,101,1408.0,972.3333333333334,264.98385093167707
U25138,102,709,709,102,709.0,506.6666666666667,237.6276013143483
T55840,103,292,292,103,292.0,229.0,181.1807228915663
T56244,104,956,956,104,956.0,672.0,256.2474226804124
T57872,105,1480,1480,105,1480.0,1021.6666666666666,275.85798816568047
R42244,106,1652,1652,106,1652.0,1136.6666666666667,281.8326180257511
T98835,107,223,223,107,223.0,184.33333333333334,163.8054919908467
T59878,108,1157,1157,108,1157.0,807.3333333333334,273.02840495265843
X89416,109,431,431,109,431.0,323.6666666666667,217.1602465331279
H17897,110,1765,1765,110,1765.0,1213.3333333333333,293.4256926952141
H40560,111,1134,1134,111,1134.0,793.0,278.48230088495575
T84049,112,154,154,112,154.0,140.0,136.88888888888889
R43936,113,831,831,113,831.0,591.6666666666666,266.51750236518444
M84739,114,1125,1125,114,1125.0,788.0,284.3680709534368
T65792,115,444,444,115,444.0,334.3333333333333,227.27002967359053
D14663,116,780,780,116,780.0,558.6666666666666,268.22134387351775
X86809,117,228,228,117,228.0,191.0,173.2207792207792
X02152,118,1388,1388,118,1388.0,964.6666666666666,302.55665024630537
T92451,119,1530,1530,119,1530.0,1059.6666666666667,308.94230769230774
T56690,120,471,471,120,471.0,354.0,238.48101265822785
L40904,121,1687,1687,121,1687.0,1165.0,317.46034214618976
R10066,122,1948,1948,122,1948.0,1339.3333333333333,325.2591240875912
H27277,123,446,446,123,446.0,338.3333333333333,237.82369942196533
U30825,124,12,12,12,12.0,49.333333333333336,17.16923076923077
T86749,125,951,951,125,951.0,675.6666666666666,296.940049958368
M35531,126,647,647,126,647.0,473.3333333333333,272.0422691879867
J04102,127,743,743,127,743.0,537.6666666666666,283.9348044132397
M14764,128,338,338,128,338.0,268.0,218.50505050505052
H01346,129,1083,1083,129,1083.0,765.0,312.54362416107386
X12466,130,1672,1672,130,1672.0,1158.0,337.51552795031057
X52541,131,1721,1721,131,1721.0,1191.0,341.0756429652043
H20426,132,1170,1170,132,1170.0,824.0,323.0962343096234
X80507,133,505,505,133,505.0,381.0,261.3424124513619
R83923,134,253,253,134,253.0,213.33333333333334,195.21305182341652
R37464,135,1169,1169,135,1169.0,824.3333333333334,329.0097289784573
X14958,136,1048,1048,136,1048.0,744.0,323.92727272727274
X12369,137,1923,1923,137,1923.0,1327.6666666666667,359.74192080109236
X62025,138,824,824,138,824.0,595.3333333333334,310.12363636363636
Z24727,139,1397,1397,139,1397.0,977.6666666666666,347.79044776119395
R72104,140,917,917,140,917.0,658.0,321.7543859649123
H49515,141,630,630,141,630.0,467.0,292.2039473684211
X14767,142,1745,1745,142,1745.0,1210.6666666666667,366.3725973385905
U10362,143,624,624,143,624.0,463.6666666666667,294.1714285714286
T90350,144,577,577,144,577.0,432.6666666666667,288.16647398843935
M81695,145,732,732,145,732.0,536.3333333333334,311.5655577299413
L28010,146,1399,1399,146,1399.0,981.3333333333334,362.36664695446484
D25217,147,1461,1461,147,1461.0,1023.0,367.12307692307695
Z11502,148,50,50,50,50.0,82.66666666666667,64.16184971098265
X87342,149,1108,1108,149,1108.0,788.3333333333334,352.25889046941677
X54942,150,932,932,150,932.0,671.3333333333334,340.42207792207796
M91463,151,746,746,151,746.0,547.6666666666666,322.45992366412213
U26710,152,749,749,152,749.0,550.0,324.3532763532763
M34344,153,849,849,153,849.0,617.0,337.3948051948052
U20972,154,574,574,154,574.0,434.0,300.6666666666667
T52342,155,1333,1333,155,1333.0,940.3333333333334,377.26415094339626
Z29677,156,412,412,156,412.0,326.6666666666667,266.3204419889503
U21128,157,1582,1582,157,1582.0,1107.0,392.9968354430379
L35249,158,1977,1977,158,1977.0,1370.6666666666667,408.6777147841256
H06524,159,509,509,159,509.0,392.3333333333333,293.58282950423217
X81372,160,1653,1653,160,1653.0,1155.3333333333333,402.1490116573745
M24470,161,1820,1820,161,1820.0,1267.0,410.39215686274514
T74257,162,1380,1380,162,1380.0,974.0,393.5915492957746
M83221,163,844,844,163,844.0,617.0,352.74871794871797
R20554,164,324,324,164,324.0,270.6666666666667,244.49079754601226
T79595,165,1594,1594,165,1594.0,1117.6666666666667,410.09875259875264
R42127,166,870,870,166,870.0,635.3333333333334,360.44925124792013
X72727,167,1175,1175,167,1175.0,839.0,390.1093439363817
H04311,168,1748,1748,168,1748.0,1221.3333333333333,422.7408829174664
T52015,169,1357,1357,169,1357.0,961.0,405.8991150442478
M20543,170,742,742,170,742.0,551.3333333333334,349.7412199630314
H85528,171,484,484,171,484.0,379.6666666666667,300.5956416464891
M57567,172,1184,1184,172,1184.0,846.6666666666666,399.8324607329843
U29092,173,1518,1518,173,1518.0,1069.6666666666667,422.662017167382
X57974,174,125,125,125,125.0,141.33333333333334,137.9492600422833
H61410,175,1148,1148,175,1148.0,823.6666666666666,402.33644859813086
T51023,176,1441,1441,176,1441.0,1019.3333333333334,424.34355828220856
L05144,177,214,214,177,214.0,201.66666666666666,200.05985915492957
T52185,178,1312,1312,178,1312.0,934.0,420.0287769784173
T59954,179,1325,1325,179,1325.0,943.0,422.7718360071301
X15880,180,1671,1671,180,1671.0,1174.0,444.2836041358936
Z11692,181,1105,1105,181,1105.0,797.0,409.0081799591002
R39010,182,450,450,182,450.0,360.6666666666667,301.84275184275185
D63878,183,1237,1237,183,1237.0,885.6666666666666,423.6512788521522
X12496,184,102,102,102,102.0,129.33333333333334,119.79574468085107
H16991,185,938,938,185,938.0,687.0,398.0045871559633
U37673_,186,702,702,186,702.0,530.0,364.7262569832402
R75843,187,1522,1522,187,1522.0,1077.0,450.3386075949367
T48804,188,1318,1318,188,1318.0,941.3333333333334,438.81463990554903
X65873,189,39,39,39,39.0,89.0,53.02877697841727
U10868,190,518,518,190,518.0,408.6666666666667,328.79732739420933
M55422,191,691,691,191,691.0,524.3333333333334,369.0055917986952
L06132,192,814,814,192,814.0,606.6666666666666,391.3722871452421
M87772,193,155,155,155,155.0,167.66666666666666,165.88724584103514
T67077,194,988,988,194,988.0,723.3333333333334,417.88953488372096
R20666,195,741,741,195,741.0,559.0,383.2758620689655
T47584,196,1931,1931,196,1931.0,1352.6666666666667,488.77658200602673
J04794,197,1772,1772,197,1772.0,1247.0,483.4958448753462
D13315_,198,411,411,198,411.0,340.0,302.52044609665427
X68314,199,616,616,199,616.0,477.0,362.67455621301775
R09502,200,721,721,200,721.0,547.3333333333334,385.9054415700267
D31887,201,1543,1543,201,1543.0,1095.6666666666667,478.36966580976866
X70326,202,1612,1612,202,1612.0,1142.0,484.55952380952385
M86553,203,1447,1447,203,1447.0,1032.3333333333333,475.5655693470048
X75208,204,44,44,44,44.0,97.33333333333333,59.575221238938056
H20512,205,106,106,106,106.0,139.0,126.33720930232558
T51574,206,1350,1350,206,1350.0,968.6666666666666,473.4960272417708
R42501,207,1780,1780,207,1780.0,1255.6666666666667,503.81950774840476
X89986,208,99,99,99,99.0,135.33333333333334,119.95339805825242
T71001,209,410,410,209,410.0,343.0,310.4710144927536
T91121,210,551,551,210,551.0,437.3333333333333,357.49742533470646
U18300,211,1552,1552,211,1552.0,1105.0,497.6778115501519
H04235,212,1718,1718,212,1718.0,1216.0,510.1064425770308
M64673,213,562,562,213,562.0,445.6666666666667,363.4797570850203
D55673,214,1781,1781,214,1781.0,1258.6666666666667,517.6106835672251
M21186,215,854,854,215,854.0,641.0,428.9953271028038
T60437,216,493,493,216,493.0,400.6666666666667,345.3664864864865
H06061,217,556,556,217,556.0,443.0,365.6121212121212
M59040,218,201,201,201,201.0,206.66666666666666,206.36420722135009
T70595,219,1435,1435,219,1435.0,1029.6666666666667,503.36091831286706
R54422,220,1614,1614,220,1614.0,1149.3333333333333,518.6173320350537
D29641,221,776,776,221,776.0,591.0,422.4039408866995
R52000,222,1802,1802,222,1802.0,1275.3333333333333,534.3419412288513
D00860,223,163,163,163,163.0,183.0,179.0591133004926
