,index,Feature,value_MI
0,624,X12671,0.2958973281498660235
1,1670,M26383,0.2668708851542191951
2,1866,U32519,0.2662788780474201200
3,257,M16937,0.2534074752566626287
4,512,M22382,0.2459386797236005062
5,1292,H23544,0.2349234503210246849
6,681,T51849,0.2294204648276516600
7,1770,J05032,0.2294024273096142430
8,1934,X62048,0.2281965105414285322
9,1762,X73902,0.2249721495134617832
10,492,R87126,0.2242412425505766471
11,575,D14812,0.2197723379924929610
12,248,M63391,0.2169137669802447821
13,778,H24030,0.2158645456477938929
14,1226,T96873,0.2142428474535147398
15,1247,D43950,0.2131812588207686598
16,1634,M36634,0.2103401035602587843
17,1771,H08393,0.2095436916865027754
18,1046,U09587,0.2083669870710129768
19,25,T95018,0.1999981638827053043
20,764,M76378__,0.1985577481136886480
21,244,M76378,0.1982250189091485648
22,1422,J02854,0.1970840282416308487
23,896,H43887,0.1917158011155284392
24,1448,R38758,0.1909879296209231470
25,45,T61602,0.1858677345314379004
26,414,T60155,0.1857749112013231674
27,1807,U21090,0.1844422558882172769
28,266,M76378_,0.1843261677881389282
29,1581,X63629,0.1833859513451960854
30,1726,X60489,0.1820229010495075794
31,1902,D43947,0.1814598887929470550
32,1392,H77536,0.1799373521897653649
33,963,T86473,0.1790806306380723356
34,1413,R64115,0.1778708255264644933
35,1561,R49459,0.1774520686560949745
36,1966,T60778,0.1752278683887256161
37,432,T52343,0.1742678441508371812
38,30,T61609,0.1729870154718764486
39,1358,U26648,0.1718220356067068355
40,346,T52642,0.1712657818246468011
41,1405,U26312,0.1709423821060855886
42,1736,T86281,0.1707203595050308387
43,389,R73052,0.1702112370025103960
44,779,H40095,0.1679084155603673967
45,1971,T57468,0.1668673129100484154
46,1341,R96909,0.1662963129938224149
47,1166,T68098,0.1659848620275976572
48,811,Z49269,0.1658086654652615177
49,489,H77348,0.1656594929522283710
50,1059,U09564,0.1649465344475244954
51,402,M21339,0.1644169407016120577
52,1899,X56597,0.1638857067026355807
53,1559,R06601,0.1622328344852475013
54,601,H28711,0.1620096257942968965
55,74,X55715,0.1603410227643389252
56,1473,L26050_,0.1585045685796870885
57,762,T54276,0.1580543516777326296
58,1901,U01038,0.1575805423329554866
59,1545,T51493,0.1565779541031375732
60,1958,M15841,0.1552765738999546397
61,376,Z50753,0.1550637938484649148
62,1633,T83368,0.1549435735669544290
63,1885,M84721,0.1548816971437230183
64,226,M64445,0.1539127047941502013
65,861,H21532,0.1537422659140339487
66,1467,X85786,0.1535074872518358280
67,1324,T47377,0.1529708839425869549
68,561,T51499,0.1529664288478742584
69,1114,R97912,0.1529342030091969118
70,1793,R27369,0.1527028483423580330
71,57,T51560,0.1522619809660068491
72,390,D31885,0.1516616946512798769
73,580,T51571,0.1516567281639904508
74,1345,T62947,0.1513143175183435662
75,1471,L41559,0.1499040210890718594
76,1742,X17025,0.1494653534421501728
77,1136,M34175_,0.1494448160520678304
78,181,T57686,0.1488147785268691958
79,647,U02493,0.1478893374804604033
80,42,T57619,0.1475768811196169761
81,418,R44418,0.1468048148443352741
82,1420,R48303,0.1451773518369108285
83,1712,R08829,0.1444517356557617482
84,1152,R84411,0.1444474836353804026
85,1608,L37792,0.1427639521131396361
86,1410,H77597,0.1426340507044059347
87,619,X04828,0.1424373521897650541
88,1566,R08021,0.1416590327113809167
89,1809,M27190,0.1415161311781671927
90,1472,R54097,0.1411801143600719399
91,1908,U10886,0.1399878926033339965
92,65,T71025,0.1398596095120332450
93,960,H91274,0.1393793438898216497
94,426,L10284,0.1384430937600227285
95,690,H30734,0.1381355160330903775
96,1041,R36977,0.1380229875643002035
97,1440,X07948,0.1377198474722605148
98,894,Z14244,0.1373218583645940960
99,971,H08156,0.1363767908872686174
100,189,D63874,0.1355441110223305490
101,1891,U25138,0.1354968962055662640
102,1128,T55840,0.1354864800374051548
103,1642,T56244,0.1353398797697122902
104,179,T57872,0.1351446672761127399
105,949,R42244,0.1348641010681270735
106,1377,T98835,0.1347510420841004919
107,443,T59878,0.1335882744889451690
108,1237,X89416,0.1329695798187671141
109,585,H17897,0.1327437527784238736
110,466,H40560,0.1325962109968814584
111,1446,T84049,0.1321438391236064991
112,1517,R43936,0.1315107451147821127
113,286,M84739,0.1312384256682581629
114,1192,T65792,0.1304563158847253934
115,1568,D14663,0.1300451744750070748
116,1406,X86809,0.1297124584876421238
117,209,X02152,0.1296712138899460687
118,821,T92451,0.1294942879487690490
119,1135,T56690,0.1293694099591096158
120,976,L40904,0.1292845104078912399
121,651,R10066,0.1288626652279816209
122,1161,H27277,0.1286250891839539889
123,398,U30825,0.1276653858048957257
124,1647,T86749,0.1271066496106105781
125,1953,M35531,0.1270021917356296548
126,1919,J04102,0.1255408012917909044
127,1017,M14764,0.1253435523042198962
128,265,H01346,0.1248053666641666393
129,991,X12466,0.1246930685679972228
130,911,X52541,0.1245520341028341083
131,494,H20426,0.1243375756222468986
132,1497,X80507,0.1237868527923620121
133,1409,R83923,0.1235301393309395923
134,495,R37464,0.1235043586599977594
135,364,X14958,0.1230773288800068865
136,738,X12369,0.1229264389629489695
137,1524,X62025,0.1225181137221398320
138,200,Z24727,0.1223066823754506149
139,1744,R72104,0.1219312453933361073
140,1874,H49515,0.1216166406432470648
141,918,X14767,0.1211879922307279589
142,1789,U10362,0.1204936915074701353
143,1774,T90350,0.1201333121437899720
144,1930,M81695,0.1197888023946316327
145,198,L28010,0.1195066025156570344
146,136,D25217,0.1194654731389139801
147,1365,Z11502,0.1192573446051088393
148,303,X87342,0.1189419789671621874
149,1729,X54942,0.1187432595440598426
150,1916,M91463,0.1185977210858444320
151,1913,U26710,0.1183910132240717505
152,1777,U20972,0.1179607758986729316
153,15,T52342,0.1177696267865013802
154,1222,Z29677,0.1171181465693265089
155,768,U21128,0.1169449234715300712
156,684,L35249,0.1169293252704479702
157,1842,H06524,0.1167273347880775081
158,948,X81372,0.1166698848900400431
159,530,M24470,0.1166453956221920052
160,125,T74257,0.1164195080267602656
161,1504,M83221,0.1161253735295890710
162,1031,R20554,0.1159392535142473868
