Feature,value_rfe
R87126,1
H08393,2
M63391,3
H40095,4
M22382,5
M26383,6
X63629,7
J05032,8
T51493,9
T61333,10
T71260,11
U27328,12
X69878,13
H82746,14
H80975,15
X66363,16
X53179,17
T51613,18
U37012,19
U20982,20
R71875,21
X61123,22
T40578,23
H11084,24
M16937,25
X53799,26
control9,27
X54163,28
U20141,29
control8,30
U11037,31
control10,32
H11940,33
H08637,34
control11,35
M26252,36
H17802,37
L38929,38
R72300,39
M21186,40
R42127,41
H01346,42
T62633,43
M76378_,44
M28373,45
R49416,46
X77956,47
R06601,48
R92729,49
D14520,50
R49459,51
K03192,52
X05196,53
H28704,54
L19760,55
X82456,56
T69748,57
U14971_,58
H08351,59
R94513,60
T53694,61
R54941,62
R08021,63
X07384,64
H78346,65
R83904,66
R67987,67
K03460,68
J05272,69
T79152,70
H81558,71
D14695,72
T46888,73
D14663,74
T69446,75
T99498,76
X58401,77
M96859,78
Y00971,79
H38185,80
H64489,81
D29641,82
R95874,83
M84739,84
T58731,85
L21993,86
T67406,87
T48102,88
Z22658,89
R52271,90
R12389,91
T49838,92
H06189,93
M31516,94
M88468,95
X57206,96
L26405,97
T78624,98
X15183,99
T79831,100
M86400,101
H03461,102
R60877,103
X13482,104
X74330,105
T55248,106
T91043,107
T98616,108
M28219,109
H62531,110
X61971,111
D13639,112
R34701,113
Z14000,114
L14848,115
X87342,116
R60591,117
Z11584,118
R71651,119
J00231,120
R74208,121
Z11692,122
L14076,123
U25165,124
H63361,125
X16135,126
T70331,127
T58645,128
H82820,129
T48296,130
H28111,131
X51435,132
M22538,133
M86752,134
U26401,135
H87157,136
R41827,137
D14696,138
X63187,139
H64576,140
T47383,141
M90516,142
M19045,143
L06132,144
T65580,145
R09138,146
T47562,147
M69238,148
U21914,149
T48386,150
L04751,151
X62055,152
D16227,153
U28963,154
Z46389,155
X12876,156
M88108,157
R85616,158
L12723,159
L10911,160
Y00062,161
U37408,162
L37792,163
H40705,164
H92195,165
X17097,166
T59406,167
U15782,168
M65028,169
R67275,170
X62153,171
T51539,172
T72582,173
M16447,174
R42765,175
H09781,176
H65823,177
R39681,178
D90086,179
R54837,180
U30872,181
H46732,182
H15552,183
R41941,184
M93010,185
X73478,186
T94993,187
R28608,188
T87527,189
D13315,190
T86444,191
H26101,192
D90391,193
Y00345,194
L27841,195
H15542,196
T95612,197
R05291,198
X80026,199
R49231,200
M32315,201
X63469,202
T52642,203
T93885,204
U05681,205
L37936,206
X03674,207
D26129,208
X55019,209
M34668,210
H66786,211
M61858,212
T57882_,213
U09367,214
M36634,215
T83368,216
R70030,217
U14391,218
H22579,219
M30474,220
R52081,221
R72164,222
T57780_,223
T72503,224
M83751,225
X67235,226
L09604,227
K02268,228
L05485,229
T50511,230
X59131,231
M36205,232
L36818,233
X14958,234
T96942,235
T56244,236
M27903,237
R80427,238
X04500,239
R51502,240
R71585,241
H05966,242
T86749,243
T49397,244
