,index,Feature,value_variancethres
0,603,M97370,1.0000000000000007
1,61,T48804,1.0000000000000007
2,1794,Z18948,1.0000000000000007
3,1908,U10886,1.0000000000000007
4,237,R07007,1.0000000000000007
5,762,T54276,1.0000000000000007
6,328,M65028,1.0000000000000007
7,869,M16827,1.0000000000000007
8,377,X72389,1.0000000000000007
9,1625,T95612,1.0000000000000007
10,1555,H17802,1.0000000000000004
11,197,T57630,1.0000000000000004
12,915,H04311,1.0000000000000004
13,1557,R49416,1.0000000000000004
14,1556,M21186,1.0000000000000004
15,1562,H28704,1.0000000000000004
16,1566,R08021,1.0000000000000004
17,188,T64467,1.0000000000000004
18,200,Z24727,1.0000000000000004
19,615,X68148,1.0000000000000004
20,1545,T51493,1.0000000000000004
21,902,M81601,1.0000000000000004
22,1540,R42127,1.0000000000000004
23,926,U09466,1.0000000000000004
24,1530,M34344,1.0000000000000004
25,934,L13042,1.0000000000000004
26,1513,R59202,1.0000000000000004
27,460,M90104,1.0000000000000004
28,217,R67075,1.0000000000000004
29,1504,M83221,1.0000000000000004
30,1503,H78386,1.0000000000000004
31,458,R49855,1.0000000000000004
32,948,X81372,1.0000000000000004
33,1485,R15814,1.0000000000000004
34,1569,H81558,1.0000000000000004
35,1593,H87157,1.0000000000000004
36,1589,R74208,1.0000000000000004
37,835,M23254,1.0000000000000004
38,127,M84326,1.0000000000000004
39,1693,H74007,1.0000000000000004
40,1691,X51985,1.0000000000000004
41,132,L38696,1.0000000000000004
42,823,Z49269_,1.0000000000000004
43,824,X80754,1.0000000000000004
44,1683,H24310,1.0000000000000004
45,825,H22948,1.0000000000000004
46,826,T90759,1.0000000000000004
47,140,D21261,1.0000000000000004
48,1674,D00596,1.0000000000000004
49,508,Z49199,1.0000000000000004
50,487,M94250,1.0000000000000004
51,145,M99626,1.0000000000000004
52,147,M19283,1.0000000000000004
53,853,H70609,1.0000000000000004
54,152,T74906,1.0000000000000004
55,155,M29273,1.0000000000000004
56,860,R01157,1.0000000000000004
57,1638,U14391,1.0000000000000004
58,163,X57351,1.0000000000000004
59,1609,U15782,1.0000000000000004
60,489,H77348,1.0000000000000004
61,1481,T64012,1.0000000000000004
62,226,M64445,1.0000000000000004
63,447,X02875,1.0000000000000004
64,1475,H05893,1.0000000000000004
65,1285,D16294,1.0000000000000004
66,1282,Y00711,1.0000000000000004
67,395,H85835,1.0000000000000004
68,309,T48296,1.0000000000000004
69,1267,H46994,1.0000000000000004
70,1098,M81933,1.0000000000000004
71,1264,H11374,1.0000000000000004
72,1104,T40849,1.0000000000000004
73,1113,X76648,1.0000000000000004
74,1240,T64885,1.0000000000000004
75,325,L10911,1.0000000000000004
76,378,M74903,1.0000000000000004
77,1225,M23419_,1.0000000000000004
78,1224,R46528,1.0000000000000004
79,1130,U05572,1.0000000000000004
80,1213,X57830,1.0000000000000004
81,1134,R44887,1.0000000000000004
82,1204,U09414,1.0000000000000004
83,1138,R56401,1.0000000000000004
84,343,H15542,1.0000000000000004
85,1189,T79616,1.0000000000000004
86,1181,M61199,1.0000000000000004
87,1180,H80114,1.0000000000000004
88,367,T49397,1.0000000000000004
89,363,M27903,1.0000000000000004
90,1172,M55543,1.0000000000000004
91,1081,U10117,1.0000000000000004
92,1291,R45942,1.0000000000000004
93,960,H91274,1.0000000000000004
94,1072,R98842,1.0000000000000004
95,1698,R39540,1.0000000000000004
96,966,R48936,1.0000000000000004
97,1452,D17532,1.0000000000000004
98,1450,D15049,1.0000000000000004
99,441,T64878,1.0000000000000004
100,1446,T84049,1.0000000000000004
101,436,H41129,1.0000000000000004
102,1436,T67433,1.0000000000000004
103,1431,D26068,1.0000000000000004
104,1424,M68520,1.0000000000000004
105,264,R72300,1.0000000000000004
106,265,H01346,1.0000000000000004
107,268,X77956,1.0000000000000004
108,421,R77824,1.0000000000000004
109,274,U14971_,1.0000000000000004
110,1347,X52228,1.0000000000000004
111,1045,M22632,1.0000000000000004
112,1338,U24166,1.0000000000000004
113,414,T60155,1.0000000000000004
114,286,M84739,1.0000000000000004
115,1064,M14764_,1.0000000000000004
116,1314,M97676,1.0000000000000004
